Cumulative  Test positive,Cumulative  tests performed,Date,Discharged,Expired,Region,Still admitted
708,2720,01/04/2020,5,9,Punjab,357
676,6578,01/04/2020,51,8,Sindh,385
253,1271,01/04/2020,2,6,KP,74
158,1934,01/04/2020,17,1,Balochistan,124
6,239,01/04/2020,0,0,AJK,6
184,750,01/04/2020,4,2,GB,12
62,1997,02/04/2020,3,0,ICT,15
845,2945,02/04/2020,6,11,Punjab,384
743,6926,02/04/2020,58,9,Sindh,387
276,1814,02/04/2020,19,8,KP,84
169,2049,02/04/2020,17,1,Balochistan,125
9,249,02/04/2020,0,0,AJK,9
187,797,02/04/2020,4,2,GB,12
68,2395,03/04/2020,3,0,ICT,18
920,15134,03/04/2020,6,11,Punjab,456
783,7504,03/04/2020,65,11,Sindh,410
311,1938,03/04/2020,30,9,KP,92
169,2171,03/04/2020,17,1,Balochistan,125
9,322,03/04/2020,0,0,AJK,9
190,844,03/04/2020,5,3,GB,12
11,343,04/04/2020,0,0,AJK,11
175,2401,04/04/2020,17,1,Balochistan,132
193,860,04/04/2020,9,3,GB,12
75,2569,04/04/2020,3,0,ICT,14
343,1624,04/04/2020,30,11,KP,92
1072,16508,04/04/2020,6,11,Punjab,506
839,8625,04/04/2020,65,14,Sindh,391
12,385,05/04/2020,1,0,AJK,11
185,2513,05/04/2020,17,1,Balochistan,133
206,975,05/04/2020,9,3,GB,12
78,2744,05/04/2020,3,0,ICT,10
372,1769,05/04/2020,30,14,KP,95
1163,17653,05/04/2020,25,12,Punjab,526
864,8846,05/04/2020,85,15,Sindh,390
15,400,06/04/2020,1,0,AJK,14
191,2777,06/04/2020,30,1,Balochistan,112
210,998,06/04/2020,13,3,GB,12
82,2871,06/04/2020,3,0,ICT,11
405,1974,06/04/2020,62,16,KP,120
1493,17724,06/04/2020,25,15,Punjab,653
881,9131,06/04/2020,123,15,Sindh,363
18,484,07/04/2020,1,0,AJK,17
202,2998,07/04/2020,63,1,Balochistan,87
211,1015,07/04/2020,15,3,GB,14
83,2921,07/04/2020,3,1,ICT,17
500,2103,07/04/2020,69,17,KP,138
1918,20073,07/04/2020,25,15,Punjab,751
932,9589,07/04/2020,253,17,Sindh,287
19,534,08/04/2020,1,0,AJK,18
206,3091,08/04/2020,75,2,Balochistan,77
212,1127,08/04/2020,15,3,GB,14
92,3096,08/04/2020,3,1,ICT,17
527,2262,08/04/2020,70,18,KP,197
2030,21826,08/04/2020,34,16,Punjab,713
986,10223,08/04/2020,269,18,Sindh,303
28,581,09/04/2020,1,0,AJK,27
212,3216,09/04/2020,76,2,Balochistan,77
213,1143,09/04/2020,96,3,GB,14
102,3233,09/04/2020,10,1,ICT,11
560,2662,09/04/2020,74,20,KP,168
2171,23080,09/04/2020,35,17,Punjab,752
1036,10981,09/04/2020,280,20,Sindh,354
33,631,10/04/2020,1,0,AJK,32
219,3405,10/04/2020,89,1,Balochistan,70
215,1266,10/04/2020,111,3,GB,14
107,3375,10/04/2020,10,1,ICT,18
620,2871,10/04/2020,128,22,KP,201
2279,31535,10/04/2020,39,18,Punjab,745
1128,11623,10/04/2020,349,21,Sindh,322
34,745,11/04/2020,1,0,AJK,33
220,3694,11/04/2020,95,1,Balochistan,68
215,1334,11/04/2020,125,3,GB,17
113,3480,11/04/2020,13,1,ICT,15
656,3046,11/04/2020,131,25,KP,201
2336,33328,11/04/2020,39,19,Punjab,764
1214,12209,11/04/2020,358,22,Sindh,313
35,813,12/04/2020,1,0,AJK,34
228,3812,12/04/2020,95,2,Balochistan,62
216,1408,12/04/2020,146,3,GB,9
119,3570,12/04/2020,13,1,ICT,17
697,3259,12/04/2020,142,31,KP,210
2425,36199,12/04/2020,258,21,Punjab,765
1318,12740,12/04/2020,371,28,Sindh,343
40,910,13/04/2020,2,0,AJK,38
230,3906,13/04/2020,123,2,Balochistan,40
224,1476,13/04/2020,149,3,GB,9
131,3836,13/04/2020,15,1,ICT,24
744,3478,13/04/2020,145,34,KP,211
2594,38199,13/04/2020,272,23,Punjab,832
1411,13309,13/04/2020,389,30,Sindh,347
43,992,14/04/2020,4,0,AJK,39
231,4012,14/04/2020,124,2,Balochistan,34
233,1563,14/04/2020,155,3,GB,9
131,3947,14/04/2020,15,1,ICT,19
800,3793,14/04/2020,153,35,KP,211
2826,41781,14/04/2020,508,24,Punjab,702
1452,13840,14/04/2020,419,31,Sindh,354
46,1029,15/04/2020,4,0,AJK,42
240,4100,15/04/2020,137,2,Balochistan,20
234,1618,15/04/2020,175,3,GB,5
140,4473,15/04/2020,17,1,ICT,16
865,4151,15/04/2020,178,38,KP,211
2945,43565,15/04/2020,508,28,Punjab,759
1518,14503,15/04/2020,427,35,Sindh,443
46,1081,16/04/2020,9,0,AJK,37
280,4299,16/04/2020,140,3,Balochistan,25
237,1664,16/04/2020,178,3,GB,5
145,4824,16/04/2020,17,1,ICT,17
912,4524,16/04/2020,191,42,KP,211
3217,46561,16/04/2020,550,34,Punjab,756
1668,16026,16/04/2020,560,41,Sindh,319
46,1135,17/04/2020,9,0,AJK,37
303,4427,17/04/2020,142,5,Balochistan,33
245,1826,17/04/2020,183,3,GB,5
154,5150,17/04/2020,20,1,ICT,22
993,4885,17/04/2020,205,45,KP,230
3276,48381,17/04/2020,630,36,Punjab,767
2008,18900,17/04/2020,576,45,Sindh,267
48,1175,18/04/2020,9,0,AJK,39
335,4812,18/04/2020,142,5,Balochistan,40
250,2021,18/04/2020,192,3,GB,5
163,5479,18/04/2020,20,1,ICT,13
1077,5311,18/04/2020,216,50,KP,280
3391,52478,18/04/2020,672,37,Punjab,787
2217,21272,18/04/2020,581,47,Sindh,717
48,1229,19/04/2020,9,0,AJK,39
376,5085,19/04/2020,144,5,Balochistan,51
257,2169,19/04/2020,193,3,GB,5
171,5857,19/04/2020,20,2,ICT,15
1137,6003,19/04/2020,226,60,KP,294
3649,55241,19/04/2020,684,41,Punjab,992
2355,22938,19/04/2020,592,48,Sindh,764
49,1275,20/04/2020,10,0,AJK,39
432,5315,20/04/2020,152,5,Balochistan,68
263,2430,20/04/2020,194,3,GB,4
181,5976,20/04/2020,20,3,ICT,16
1235,6544,20/04/2020,267,67,KP,296
3721,58304,20/04/2020,702,42,Punjab,1002
2537,24458,20/04/2020,625,56,Sindh,791
50,1355,21/04/2020,16,0,AJK,34
465,5636,21/04/2020,161,6,Balochistan,67
281,2604,21/04/2020,195,3,GB,4
185,6224,21/04/2020,20,3,ICT,14
1276,9360,21/04/2020,297,74,KP,328
4195,60649,21/04/2020,742,45,Punjab,1151
2764,26058,21/04/2020,635,61,Sindh,845
51,1416,22/04/2020,23,0,AJK,28
552,6130,22/04/2020,168,8,Balochistan,82
290,2859,22/04/2020,201,3,GB,10
204,6931,22/04/2020,26,3,ICT,8
1453,10837,22/04/2020,414,83,KP,351
4590,66030,22/04/2020,790,58,Punjab,1290
3373,30346,22/04/2020,715,69,Sindh,1010
55,1471,23/04/2020,0,0,AJK,30
607,6504,23/04/2020,346,8,Balochistan,79
300,2998,23/04/2020,75,3,GB,10
214,7519,23/04/2020,173,3,ICT,12
1541,11963,23/04/2020,628,85,KP,373
4767,67882,23/04/2020,2497,65,Punjab,1300
3671,33028,23/04/2020,1805,73,Sindh,1063
55,1522,24/04/2020,0,0,AJK,27
656,6742,24/04/2020,393,10,Balochistan,77
307,3162,24/04/2020,81,3,GB,10
223,8059,24/04/2020,177,3,ICT,14
1708,13109,24/04/2020,738,89,KP,409
5046,69971,24/04/2020,2577,73,Punjab,1331
3945,35582,24/04/2020,1893,75,Sindh,1205
55,1588,25/04/2020,0,0,AJK,23
722,7212,25/04/2020,449,11,Balochistan,86
308,3273,25/04/2020,79,3,GB,10
235,8455,25/04/2020,188,3,ICT,15
1793,13930,25/04/2020,760,93,KP,455
5378,71726,25/04/2020,2577,81,Punjab,1594
4232,38181,25/04/2020,2146,78,Sindh,1206
55,1588,26/04/2020,32,0,AJK,23
722,7212,26/04/2020,176,11,Balochistan,86
308,3273,26/04/2020,216,3,GB,10
235,8455,26/04/2020,29,3,ICT,15
1793,13930,26/04/2020,485,93,KP,455
5378,71726,26/04/2020,1126,81,Punjab,1594
4232,38181,26/04/2020,802,78,Sindh,1206
59,1692,27/04/2020,35,0,AJK,24
781,7582,27/04/2020,176,13,Balochistan,90
318,3398,27/04/2020,219,3,GB,10
245,8753,27/04/2020,29,3,ICT,15
1864,14889,27/04/2020,515,98,KP,484
5446,73226,27/04/2020,1183,83,Punjab,1602
4615,41216,27/04/2020,872,81,Sindh,1230
65,1713,28/04/2020,35,0,AJK,30
853,7991,28/04/2020,176,14,Balochistan,93
320,3515,28/04/2020,222,3,GB,10
261,9247,28/04/2020,36,4,ICT,18
1984,15737,28/04/2020,533,104,KP,500
5640,75071,28/04/2020,1306,91,Punjab,1664
4956,43949,28/04/2020,925,85,Sindh,1241
65,1826,29/04/2020,37,0,AJK,28
915,8504,29/04/2020,176,14,Balochistan,93
330,3647,29/04/2020,224,3,GB,9
297,9705,29/04/2020,36,4,ICT,19
2160,16549,29/04/2020,562,114,KP,496
5827,77619,29/04/2020,1427,100,Punjab,1719
5291,48061,29/04/2020,963,92,Sindh,1323
66,1958,30/04/2020,37,0,AJK,29
978,8820,30/04/2020,180,14,Balochistan,88
333,3791,30/04/2020,228,3,GB,10
313,10435,30/04/2020,44,4,ICT,21
2313,17452,30/04/2020,614,122,KP,576
6061,79914,30/04/2020,1780,103,Punjab,1597
5695,51790,30/04/2020,1169,100,Sindh,1239
66,2038,01/05/2020,43,0,AJK,23
1049,9435,01/05/2020,183,14,Balochistan,90
339,3932,01/05/2020,248,3,GB,10
343,11194,01/05/2020,44,4,ICT,18
2627,18504,01/05/2020,654,146,KP,616
6340,82651,01/05/2020,1921,106,Punjab,1703
6053,54377,01/05/2020,1222,112,Sindh,1246
66,2054,02/05/2020,0,0,AJK,23
1136,9821,02/05/2020,847,16,Balochistan,90
340,4146,02/05/2020,72,3,GB,10
365,11689,02/05/2020,302,4,ICT,15
2799,19489,02/05/2020,1322,161,KP,626
6733,88899,02/05/2020,2610,115,Punjab,1803
6675,57761,02/05/2020,4044,118,Sindh,1218
71,2227,04/05/2020,0,0,AJK,27
1218,10326,04/05/2020,917,21,Balochistan,83
364,4439,04/05/2020,91,3,GB,10
415,12704,04/05/2020,339,4,ICT,16
3129,21909,04/05/2020,1535,180,KP,603
7524,96854,04/05/2020,2775,124,Punjab,1958
7465,64052,04/05/2020,4638,130,Sindh,1142
71,2281,05/05/2020,0,0,AJK,22
1321,10633,05/05/2020,1014,21,Balochistan,89
372,4581,05/05/2020,80,3,GB,10
464,13697,05/05/2020,383,4,ICT,21
3288,22692,05/05/2020,1578,185,KP,669
8103,101897,05/05/2020,2779,136,Punjab,2472
7882,66623,05/05/2020,4994,137,Sindh,1122
76,2391,06/05/2020,54,0,AJK,22
1495,11496,06/05/2020,206,21,Balochistan,67
386,4748,06/05/2020,282,3,GB,22
485,14585,06/05/2020,56,4,ICT,18
3499,23562,06/05/2020,875,194,KP,633
8420,106927,06/05/2020,3073,156,Punjab,2412
8189,68873,06/05/2020,1671,148,Sindh,1231
76,2471,07/05/2020,57,0,AJK,19
1659,12289,07/05/2020,209,22,Balochistan,67
388,4876,07/05/2020,288,3,GB,21
521,15607,07/05/2020,56,4,ICT,19
3712,24984,07/05/2020,939,203,KP,671
9077,112007,07/05/2020,3184,175,Punjab,2939
8640,72544,07/05/2020,1731,157,Sindh,1224
78,2518,08/05/2020,58,0,AJK,20
1725,13241,08/05/2020,209,24,Balochistan,44
394,5007,08/05/2020,292,3,GB,13
558,16666,08/05/2020,72,4,ICT,18
3956,26531,08/05/2020,984,209,KP,704
10033,117206,08/05/2020,4062,183,Punjab,3009
9093,76078,08/05/2020,1853,171,Sindh,1211
79,2668,09/05/2020,60,0,AJK,19
1876,13771,09/05/2020,222,24,Balochistan,44
421,5135,09/05/2020,298,3,GB,12
609,17657,09/05/2020,72,4,ICT,29
4327,27990,09/05/2020,1033,221,KP,806
10471,121194,09/05/2020,4131,191,Punjab,3370
9691,81610,09/05/2020,1940,175,Sindh,1154
86,2780,10/05/2020,60,0,AJK,26
1935,14374,10/05/2020,242,24,Balochistan,28
430,5310,10/05/2020,303,4,GB,13
641,18755,10/05/2020,72,5,ICT,29
4509,29202,10/05/2020,1086,234,KP,602
11093,125988,10/05/2020,4240,192,Punjab,3882
10771,87108,10/05/2020,2020,180,Sindh,1139
86,2854,11/05/2020,64,0,AJK,22
2017,14687,11/05/2020,242,26,Balochistan,28
442,5480,11/05/2020,304,4,GB,5
679,19532,11/05/2020,72,6,ICT,28
4669,30472,11/05/2020,1126,245,KP,641
11568,130546,11/05/2020,4323,197,Punjab,4269
11480,91323,11/05/2020,2081,189,Sindh,1237
86,2935,12/05/2020,0,1,AJK,21
2061,15323,12/05/2020,1761,27,Balochistan,31
457,5619,12/05/2020,121,4,GB,12
716,20201,12/05/2020,602,6,ICT,36
4875,31606,12/05/2020,2713,257,KP,649
11869,135114,12/05/2020,2784,211,Punjab,4422
12017,95053,12/05/2020,8178,200,Sindh,1490
88,3037,13/05/2020,0,1,AJK,19
2158,15751,13/05/2020,1844,27,Balochistan,31
475,5748,13/05/2020,127,4,GB,13
759,21257,13/05/2020,632,6,ICT,29
5021,32577,13/05/2020,2860,267,KP,589
13225,140212,13/05/2020,2780,214,Punjab,5700
12610,99117,13/05/2020,8668,218,Sindh,1495
91,3245,14/05/2020,69,1,AJK,21
2239,16062,14/05/2020,326,27,Balochistan,31
482,5884,14/05/2020,337,4,GB,12
822,22287,14/05/2020,100,6,ICT,26
5252,34352,14/05/2020,1392,275,KP,572
13561,145577,14/05/2020,4636,223,Punjab,5912
13341,103343,14/05/2020,2835,234,Sindh,1432
105,3411,15/05/2020,76,1,AJK,28
2310,16601,15/05/2020,342,30,Balochistan,31
501,6027,15/05/2020,339,4,GB,17
866,23409,15/05/2020,100,7,ICT,25
5423,35905,15/05/2020,1505,284,KP,547
13914,151247,15/05/2020,4720,234,Punjab,6180
14099,107830,15/05/2020,3073,243,Sindh,1476
108,3572,16/05/2020,76,1,AJK,31
2457,17078,16/05/2020,383,31,Balochistan,32
518,6173,16/05/2020,345,4,GB,24
921,24367,16/05/2020,100,7,ICT,30
5678,37452,16/05/2020,1613,291,KP,522
14201,157226,16/05/2020,4757,245,Punjab,6418
14916,113396,16/05/2020,3606,255,Sindh,1404
112,3758,17/05/2020,77,1,AJK,34
2544,17663,17/05/2020,417,36,Balochistan,32
527,6356,17/05/2020,348,4,GB,21
947,25385,17/05/2020,113,7,ICT,22
5847,38992,17/05/2020,1699,305,KP,374
14584,163466,17/05/2020,4883,252,Punjab,6617
15590,117860,17/05/2020,3804,268,Sindh,1265
112,3947,18/05/2020,77,1,AJK,34
2692,18021,18/05/2020,454,36,Balochistan,26
540,6517,18/05/2020,368,4,GB,26
997,26606,18/05/2020,113,7,ICT,31
6061,40410,18/05/2020,1783,318,KP,520
15346,168940,18/05/2020,4918,260,Punjab,7388
16337,122894,18/05/2020,4209,277,Sindh,1406
115,4090,19/05/2020,77,1,AJK,37
2820,18438,19/05/2020,524,38,Balochistan,34
550,6636,19/05/2020,368,4,GB,22
1034,27425,19/05/2020,113,9,ICT,22
6230,41825,19/05/2020,1944,334,KP,478
15976,174305,19/05/2020,4974,273,Punjab,7949
17241,127573,19/05/2020,4489,280,Sindh,1377
133,4242,20/05/2020,77,1,AJK,55
2885,19003,20/05/2020,608,38,Balochistan,39
556,6731,20/05/2020,390,4,GB,20
1138,29033,20/05/2020,151,9,ICT,30
6554,43329,20/05/2020,2058,345,KP,512
16685,180540,20/05/2020,5076,289,Punjab,8538
17947,131376,20/05/2020,4741,299,Sindh,1534
148,4470,21/05/2020,79,1,AJK,68
2968,19345,21/05/2020,636,38,Balochistan,35
579,6928,21/05/2020,402,4,GB,22
1235,30364,21/05/2020,151,10,ICT,35
6815,44973,21/05/2020,2130,351,KP,535
17382,185979,21/05/2020,5112,297,Punjab,8718
18964,137540,21/05/2020,5645,316,Sindh,1487
158,4659,22/05/2020,79,1,AJK,78
3074,19888,22/05/2020,724,39,Balochistan,58
602,7099,22/05/2020,412,4,GB,25
1326,32126,22/05/2020,151,12,ICT,34
7155,46762,22/05/2020,2198,365,KP,420
18455,191910,22/05/2020,5312,310,Punjab,9418
19924,143543,22/05/2020,6325,336,Sindh,1528
171,4868,23/05/2020,94,1,AJK,76
3198,20383,23/05/2020,762,39,Balochistan,58
607,7338,23/05/2020,427,4,GB,26
1457,32964,23/05/2020,152,12,ICT,33
7391,48348,23/05/2020,2297,381,KP,465
18730,197225,23/05/2020,5906,324,Punjab,2126
20883,149566,23/05/2020,7015,340,Sindh,1633
197,5103,24/05/2020,97,1,AJK,99
3306,20987,24/05/2020,860,39,Balochistan,61
619,7443,24/05/2020,430,4,GB,24
1592,33936,24/05/2020,152,14,ICT,30
7685,49780,24/05/2020,2396,389,KP,403
19557,202456,24/05/2020,6050,332,Punjab,1960
21645,153902,24/05/2020,7213,354,Sindh,1654
209,5225,25/05/2020,99,2,AJK,108
3407,21401,25/05/2020,875,40,Balochistan,77
619,7574,25/05/2020,437,7,GB,24
1641,34379,25/05/2020,152,16,ICT,31
7905,51587,25/05/2020,2469,398,KP,401
20077,206041,25/05/2020,6091,337,Punjab,2053
22491,157449,25/05/2020,7359,367,Sindh,1671
211,5341,26/05/2020,99,2,AJK,110
3468,21597,26/05/2020,993,41,Balochistan,77
630,7652,26/05/2020,444,8,GB,24
1728,34964,26/05/2020,152,17,ICT,32
8080,52783,26/05/2020,2529,408,KP,400
20654,209270,26/05/2020,6124,352,Punjab,2137
22934,159301,26/05/2020,7973,369,Sindh,1649
214,5379,27/05/2020,99,4,AJK,111
3536,21866,27/05/2020,1156,42,Balochistan,109
638,7761,27/05/2020,457,9,GB,24
1879,35551,27/05/2020,152,18,ICT,31
8259,53917,27/05/2020,2578,416,KP,403
21118,213297,27/05/2020,6185,362,Punjab,2177
23507,161628,27/05/2020,8515,374,Sindh,1687
